Column1,Column2,Column3,,,,,,,,
14.6,0,0,,,,,,,,
14.6,0.2,0.050963821,,,,,,,,
14.6,0.4,0.101928884,,,,,,,,12
14.6,0.6,0.152896432,,,,,,,,
14.6,0.8,0.203867705,,,,,,,,
14.6,1,0.254843948,,,,,,,,
14.6,1.2,0.305826403,,,,,,,,
14.6,1.4,0.356816314,,,,,,,,
14.6,1.6,0.407814926,,,,,,,,
14.6,1.8,0.458823484,,,,,,,,
14.6,2,0.509843235,,,,,,,,
14.6,2.2,0.560875425,,,,,,,,
14.6,2.4,0.611921303,,,,,,,,
14.6,2.6,0.662982121,,,,,,,,
14.6,2.8,0.714059128,,,,,,,,
14.6,3,0.765153578,,,,,,,,
14.6,3.2,0.816266725,,,,,,,,
14.6,3.4,0.867399827,,,,,,,,
14.6,3.6,0.918554142,,,,,,,,
14.6,3.8,0.96973093,,,,,,,,
14.6,4,1.020931454,,,,,,,,
14.6,4.2,1.07215698,,,,,,,,
14.6,4.4,1.123408775,,,,,,,,
14.6,4.6,1.174688108,,,,,,,,
14.6,4.8,1.225996254,,,,,,,,
14.6,5,1.277334487,,,,,,,,
14.6,5.2,1.328704087,,,,,,,,
14.6,5.4,1.380106335,,,,,,,,
14.6,5.6,1.431542516,,,,,,,,
14.6,5.8,1.483013919,,,,,,,,
14.6,6,1.534521835,,,,,,,,
14.6,6.2,1.58606756,,,,,,,,
14.6,6.4,1.637652392,,,,,,,,
14.6,6.6,1.689277636,,,,,,,,
14.6,6.8,1.740944598,,,,,,,,
14.6,7,1.792654589,,,,,,,,
14.6,7.2,1.844408925,,,,,,,,
14.6,7.4,1.896208926,,,,,,,,
14.6,7.6,1.948055917,,,,,,,,
14.6,7.8,1.999951225,,,,,,,,
14.6,8,2.051896187,,,,,,,,
14.6,8.2,2.10389214,,,,,,,,
14.6,8.4,2.155940428,,,,,,,,
14.6,8.6,2.208042402,,,,,,,,
14.6,8.8,2.260199415,,,,,,,,
14.6,9,2.312412829,,,,,,,,
14.6,9.2,2.364684009,,,,,,,,
14.6,9.4,2.417014326,,,,,,,,
14.6,9.6,2.46940516,,,,,,,,
14.6,9.8,2.521857894,,,,,,,,
14.6,10,2.574373918,,,,,,,,
14.6,10.2,2.626954629,,,,,,,,
14.6,10.4,2.679601431,,,,,,,,
14.6,10.6,2.732315733,,,,,,,,
14.6,10.8,2.785098952,,,,,,,,
14.6,11,2.837952513,,,,,,,,
14.6,11.2,2.890877847,,,,,,,,
14.6,11.4,2.943876393,,,,,,,,
14.6,11.6,2.996949596,,,,,,,,
14.6,11.8,3.050098911,,,,,,,,
14.6,12,3.1033258,,,,,,,,
14.6,12.2,3.156631733,,,,,,,,
14.6,12.4,3.210018187,,,,,,,,
14.6,12.6,3.26348665,,,,,,,,
14.6,12.8,3.317038617,,,,,,,,
14.6,13,3.37067559,,,,,,,,
14.6,13.2,3.424399084,,,,,,,,
14.6,13.4,3.478210621,,,,,,,,
14.6,13.6,3.53211173,,,,,,,,
14.6,13.8,3.586103954,,,,,,,,
14.6,14,3.640188842,,,,,,,,
14.6,14.2,3.694367954,,,,,,,,
14.6,14.4,3.748642861,,,,,,,,
14.6,14.6,3.803015144,,,,,,,,
14.6,14.8,3.857486393,,,,,,,,
14.6,15,3.912058209,,,,,,,,
14.6,15.2,3.966732206,,,,,,,,
14.6,15.4,4.021510006,,,,,,,,
14.6,15.6,4.076393245,,,,,,,,
14.6,15.8,4.131383567,,,,,,,,
14.6,16,4.186482632,,,,,,,,
14.6,16.2,4.241692108,,,,,,,,
14.6,16.4,4.297013678,,,,,,,,
14.6,16.6,4.352449035,,,,,,,,
14.6,16.8,4.407999885,,,,,,,,
14.6,17,4.463667949,,,,,,,,
14.6,17.2,4.519454959,,,,,,,,
14.6,17.4,4.575362659,,,,,,,,
14.6,17.6,4.63139281,,,,,,,,
14.6,17.8,4.687547183,,,,,,,,
14.6,18,4.743827565,,,,,,,,
14.6,18.2,4.800235757,,,,,,,,
14.6,18.4,4.856773575,,,,,,,,
14.6,18.6,4.913442848,,,,,,,,
14.6,18.8,4.970245421,,,,,,,,
14.6,19,5.027183154,,,,,,,,
14.6,19.2,5.084257923,,,,,,,,
14.6,19.4,5.141471618,,,,,,,,
14.6,19.6,5.198826148,,,,,,,,
14.6,19.8,5.256323435,,,,,,,,
14.6,20,5.31396542,,,,,,,,
14.6,20.2,5.37175406,,,,,,,,
14.6,20.4,5.429691329,,,,,,,,
14.6,20.6,5.487779218,,,,,,,,
14.6,20.8,5.546019736,,,,,,,,
14.6,21,5.604414912,,,,,,,,
14.6,21.2,5.662966789,,,,,,,,
